hex_id,registered_population,registered_senior_population,demand_index_final,access_cost_m0,access_cost_m3,official_400m_ok_m0,vulnerable_m3_final,hidden_vulnerable_final,access_cost_m4_ref_min,senior_hidden_robust,district_name,admin_name,admin_code
8930e1d817bffff,3038.2590535751388,570.4851982653598,0.25621064427791623,224.56840734503342,289.8527359006202,True,True,True,4.61172777175262,True,중구,중림동,11020680
8930e1d8187ffff,2588.9927296383,570.7509402163387,0.25100993383006204,249.207869978925,391.3554790771039,True,True,True,7.442762038302866,True,서대문구,천연동,11130520
8930e1d8207ffff,1711.590119856865,347.3412032319454,0.13080886387184276,863.6634122673247,968.3177323996832,False,True,False,17.246496820115453,False,영등포구,여의동,11190540
8930e1d8287ffff,2440.3552462933585,388.2093547368402,0.19442697137895143,346.6243322029509,400.8438463611054,True,True,True,6.97119202501803,True,마포구,용강동,11140590
8930e1d8293ffff,2505.2109050459785,425.66833904275217,0.16508126770603782,469.7620154148026,507.49052736929355,False,True,False,9.224927449457788,False,마포구,신수동,11140630
8930e1d8297ffff,2511.3175605615347,426.5734850211107,0.2512353245851109,295.6199790530305,320.49347449107944,True,True,True,5.895168476109918,True,마포구,신수동,11140630
8930e1d82b7ffff,2421.89320788123,378.0933900381173,0.2279746423222844,392.6048830500591,422.8512658463562,True,True,True,7.839490895816767,True,마포구,용강동,11140590
8930e1d8313ffff,3564.661783845319,658.416728737925,0.31423275817662677,255.69055392301067,334.09241188810705,True,True,True,5.0288343151857475,True,마포구,공덕동,11140770
8930e1d8323ffff,1805.408396906702,301.48356240257135,0.13057988261909295,465.4115610489826,544.7582563085662,False,True,False,9.254390128429266,False,용산구,청파동,11030710
8930e1d8357ffff,3632.5936624716433,787.647961832588,0.33903728320416665,483.9858276771363,549.8645532435078,False,True,False,9.958422810350806,False,용산구,용문동,11030590
8930e1d839bffff,3402.3600887346997,471.9397025012885,0.28449991804317576,309.65731678554215,353.16924511255127,True,True,True,6.138139176412056,True,마포구,아현동,11140780
8930e1d83a3ffff,3272.652244703171,589.0594416487017,0.2776488492656335,203.94945076727745,248.11610972716068,True,True,True,4.6025068174342225,True,마포구,공덕동,11140770
8930e1d83cbffff,2606.738324614884,528.70241817704,0.21878748483272714,341.0272708227282,396.9677035377143,True,True,True,6.694239019853554,True,마포구,도화동,11140750
8930e1d851bffff,1724.9390849708363,319.73609265237707,0.125264435824951,794.2175288906798,1052.4467958831922,False,True,False,19.101574542923416,False,서대문구,연희동,11130760
8930e1d8537ffff,2441.578895949395,545.5856076189411,0.18533678073621077,536.8099920113701,806.2369084558128,False,True,False,12.711014444029445,False,서대문구,홍제1동,11130620
8930e1d85b7ffff,2352.279413076637,530.3407963901908,0.2497551143695798,423.78909810846085,534.6030649589381,False,True,False,8.318823036943861,False,서대문구,홍제1동,11130620
8930e1d86dbffff,1265.0231931848384,223.49926450219192,0.12113483905510773,883.3594066901799,1011.5754633581497,False,True,False,18.181062749906662,False,마포구,합정동,11140680
8930e1d890fffff,2561.9390868586775,598.9351028143267,0.27005607890850664,275.6439880457548,305.9984677951568,True,True,True,5.42270222734194,True,중구,동화동,11020730
8930e1d892bffff,2495.773908307668,510.7016386300804,0.20289602578969224,367.415429407248,519.1064845877104,True,True,True,8.513193229964212,True,중구,신당5동,11020650
