hex_id,analysis_valid_final,access_cost_m0,access_cost_m3,cost_m3_norm_final,demand_norm_final,demand_index_final,vulnerability_m3_final,vulnerability_threshold_final,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,registered_senior_share,poi_total_count,baseline_minmax_product_hidden,winsorize_1_99_product_hidden,log1p_product_hidden,rank_product_hidden,additive_minmax_hidden,delta_cost_m3_minus_m0,delta_pct_m3_over_m0,any_normalization_hidden_flag,robust_core_hidden_flag,variant_hidden_count,normalization_sensitive_flag,district_name,admin_name,admin_code
8930e036d8bffff,True,195.44689296739926,240.9497124478202,0.058395206879800356,0.5116589300001153,0.27445231579758167,0.02987842906925402,0.028838610230807495,True,True,3233.8082214342658,589.2309787493627,0.18220962357750012,149,True,True,True,True,True,45.502819480420925,0.2328142381266242,True,True,4,False,관악구,중앙동,11210610.0
8930e036d8fffff,True,161.22831843857685,201.00042793112834,0.04871332467146435,0.6401649610623316,0.34113593096467254,0.031184563591524692,0.028838610230807495,True,True,4043.7669836126242,833.312869300247,0.20607341438743862,48,True,True,True,True,True,39.77210949255149,0.24668190971490825,True,True,4,False,관악구,성현동,11210790.0
8930e036d97ffff,True,263.1316956160728,315.18913260251713,0.07638745204385623,0.7764804313986055,0.41187197572528106,0.05931336171645377,0.028838610230807495,True,True,4313.359216832167,915.0811402080009,0.21215045958543147,4,True,True,True,True,True,52.057436986444316,0.19783795663445913,True,True,4,False,관악구,성현동,11210790.0
8930e036da3ffff,True,149.90417788753265,200.97269076307646,0.048706602448598035,0.6960032474355607,0.37011121538770086,0.03389995347577707,0.028838610230807495,True,True,4203.0954978370055,900.9128413918879,0.21434508015711637,68,True,True,True,True,True,51.0685128755438,0.340674380095387,True,True,4,False,관악구,성현동,11210790.0
8930e036da7ffff,True,197.3223918275263,289.03750854195414,0.07004949263421363,0.6008138997827752,0.320716103155096,0.04208670884736668,0.028838610230807495,True,True,3773.77892508662,819.11993383562,0.21705562251949317,15,True,True,True,True,True,91.71511671442784,0.4647983225066181,True,True,4,False,관악구,청림동,11210540.0
8930e036dabffff,True,100.52011784671264,116.85171472733502,0.02831951939863738,0.663540952444875,0.3532660668082429,0.018791160874552962,0.028838610230807495,True,False,3869.943447712737,778.2249509960261,0.20109465719866848,203,False,False,True,False,True,16.331596880622385,0.16247092851131675,True,False,1,True,,,
8930e036dafffff,True,127.92223105822018,137.93974137932108,0.033430294035050975,0.6980046795523279,0.3711497871026186,0.023334501675275857,0.028838610230807495,True,False,3805.832598837958,824.6264107155743,0.21667437789233268,200,False,False,True,False,True,10.0175103211009,0.07830937780112446,True,False,1,True,,,
8930e036dbbffff,True,357.9892388682182,501.15630541108976,0.12145740219521789,0.6968342647362344,0.3705424421357162,0.08463567955547777,0.028838610230807495,True,True,4365.7249965299125,930.3165987318995,0.21309555674518202,8,True,True,True,True,True,143.16706654287157,0.39992002831005136,True,True,4,False,관악구,성현동,11210790.0
8930e036dc7ffff,True,216.06023389576117,240.44939546327564,0.058273952890654034,0.5926671848438168,0.31648865640123525,0.03453705960942512,0.028838610230807495,True,True,2937.535570432237,499.94211741633774,0.17019100039111182,149,True,True,True,True,True,24.389161567514464,0.1128813068826033,True,True,4,False,관악구,중앙동,11210610.0
8930e036dcfffff,True,204.38388673152656,234.75602800253284,0.056894140616402834,0.5310020174050285,0.2844897201590014,0.030210903445835276,0.028838610230807495,True,True,2931.713143768659,425.7613651352211,0.1452261337505597,173,True,True,True,True,True,30.372141271006285,0.1486034039019052,True,True,4,False,관악구,청룡동,11210800.0
