district_name,admin_name,admin_code,candidate_hex_count,robust_core_hidden_count,normalization_sensitive_count,registered_population_sum,registered_senior_population_sum,mean_delta_cost_m3_minus_m0,p90_delta_cost_m3_minus_m0,mean_delta_pct_m3_over_m0
노원구,월계3동,11110530.0,1,1,0,2665.6074223944875,674.3230341784663,39.09895772608456,39.09895772608456,0.10967965043228967
도봉구,쌍문2동,11100520.0,1,1,0,2504.0404019441703,666.3824130997956,28.5034982533314,28.5034982533314,0.13451149816103553
동작구,사당3동,11200650.0,1,1,0,2848.8811782844587,650.7728162012061,25.75670311953735,25.75670311953735,0.09702210514053315
도봉구,도봉2동,11100650.0,1,1,0,2066.6779178009097,641.9532633330965,30.257825712911824,30.257825712911824,0.07849901911573963
성북구,정릉4동,11080650.0,1,1,0,2709.524826814466,640.1896644134686,63.93725281554933,63.93725281554933,0.4020277938058332
은평구,응암2동,11120600.0,1,1,0,3622.458845478743,620.1677356070433,41.09603307135376,41.09603307135376,0.18845221192248748
강서구,등촌1동,11160520.0,1,1,0,2759.6132864749625,606.4093464944469,17.397189468792646,17.397189468792646,0.07154506280346763
강동구,둔촌2동,11250710.0,1,1,0,2821.500059909261,593.2677814122178,26.054629377417086,26.054629377417086,0.1241392211644892
성북구,길음2동,11080680.0,1,1,0,3532.513400718569,575.9371830795968,44.270817724886115,44.270817724886115,0.1513384018465694
성북구,장위2동,11080770.0,1,1,0,2392.073130234748,566.3039249800127,28.756903982330357,28.756903982330357,0.09497418738774675
양천구,신월6동,11150620.0,1,1,0,3250.1832490427305,565.7421754647422,38.03393395897035,38.03393395897035,0.1080671383440457
서대문구,남가좌2동,11130700.0,1,1,0,3043.910330564283,558.3396619351362,63.8125469248896,63.8125469248896,0.1960342236322557
서대문구,북아현동,11130740.0,1,1,0,3408.182586035929,557.4879288088879,65.38474464912574,65.38474464912574,0.34251357024024
동대문구,답십리1동,11060910.0,1,1,0,3235.033620506867,557.0797967443233,17.434527306042412,17.434527306042412,0.07318469335369648
강북구,송중동,11090710.0,1,1,0,2095.788107737666,552.6336152820262,20.286622094434676,20.286622094434676,0.07572283083949594
